sec	rss_kb	vmhwm_kb	worker_utime_ticks	worker_state
0	21276	21808	10	R
1	187408	204084	102	R
2	352160	367424	194	R
3	369804	369804	294	R
4	369804	369804	394	R
5	369804	369804	495	R
6	369804	369804	596	R
7	369804	369804	697	R
8	369804	369804	799	R
9	369804	369804	899	R
10	369804	369804	1000	R
11	369804	369804	1101	R
12	369804	369804	1202	R
13	369804	369804	1303	R
14	369804	369804	1404	R
15	369804	369804	1505	R
16	369804	369804	1606	R
17	369804	369804	1707	R
18	369804	369804	1808	R
19	369804	369804	1909	R
20	369804	369804	2010	R
21	369804	369804	2111	R
22	369804	369804	2213	R
23	369804	369804	2313	R
24	369804	369804	2414	R
25	369804	369804	2515	R
26	369804	369804	2616	R
27	369420	369680	2717	R
28	369420	369680	2818	R
29	369420	369680	2919	R
30	369420	369680	3020	R
31	369420	369680	3121	R
32	369420	369680	3222	R
33	369420	369680	3323	R
34	369420	369680	3423	R
35	369420	369680	3524	R
36	369420	369680	3625	R
37	369420	369680	3726	R
38	369420	369680	3827	R
39	369420	369680	3928	R
40	369420	369680	4028	R
41	369420	369680	4129	R
42	369420	369680	4230	R
43	369420	369680	4331	R
44	369420	369680	4432	R
45	369420	369680	4533	R
46	369420	369680	4634	R
47	369420	369680	4735	R
48	369420	369680	4835	R
49	369420	369680	4936	R
50	369420	369680	5037	R
51	369420	369680	5138	R
52	369420	369680	5239	R
53	369420	369680	5340	R
54	369420	369680	5442	R
55	369420	369680	5543	R
56	369420	369680	5643	R
57	369420	369680	5744	R
58	369420	369680	5845	R
59	369420	369680	5946	R
60	369420	369680	6047	R
