file	axeyum	ax_s	ax_k	z3	z3_s	z3_k	cvc5	cvc5_s	cvc5_k	status
BV/2017-Preiner-UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.smt2	unknown	0.11	ok	unsat	0.11	ok	unsat	0.41	ok	unsat
BV/2017-Preiner-UltimateAutomizer/nested9_true-unreach-call.i_1379.smt2	unknown	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-UltimateAutomizer/nested9_true-unreach-call.i_175.smt2	unknown	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-UltimateAutomizer/nested9_true-unreach-call.i_378.smt2	unknown	0.11	ok	unsat	0.11	ok	unsat	0.21	ok	unsat
BV/2017-Preiner-UltimateAutomizer/nested9_true-unreach-call.i_766.smt2	unknown	0.11	ok	unsat	0.11	ok	unsat	0.61	ok	unsat
BV/2017-Preiner-keymaera/ETCS-essentials-live-range2.proof-node1046.smt2	unknown	24.43	ok	sat	0.41	ok	sat	0.11	ok	sat
BV/2017-Preiner-keymaera/bouncing-ball-inv-node6575.smt2	sat	0.11	ok	sat	0.11	ok	sat	0.21	ok	sat
BV/2017-Preiner-keymaera/controllability-lemma-disturbed-node5255.smt2	unknown	15.62	ok	sat	0.11	ok	unknown	26.21	rc134	sat
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node10808.smt2	sat	0.11	ok	sat	0.11	ok	sat	0.11	ok	sat
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node17304.smt2	unsat	0.31	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node2524.smt2	unsat	0.31	ok	unsat	0.11	ok	unsat	0.21	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node35952.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node4261.smt2	unsat	1.31	ok	unsat	0.31	ok	unsat	3.31	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node49571.smt2	sat	0.11	ok	sat	0.21	ok	sat	0.21	ok	sat
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node6824.smt2	unsat	0.91	ok	unsat	0.11	ok	unsat	0.21	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node10570.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node111386.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node117774.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node124208.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node13023.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node136847.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node142738.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node149745.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node155819.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node162058.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node168472.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node173902.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node179862.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node186184.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node192767.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node197834.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node204753.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node210818.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node216886.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node223328.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node230060.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node23618.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node242171.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node248847.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node254500.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node260786.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node267053.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node272115.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node278773.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node284820.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node291392.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node296669.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node303463.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node309254.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node315832.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node321453.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node328391.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node334307.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node34081.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node347291.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node353388.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node359657.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node365990.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node371257.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node37796.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node383823.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node389922.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node394457.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node399685.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node403899.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node408839.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node415006.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node421836.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
