file	axeyum	ax_s	ax_k	z3	z3_s	z3_k	cvc5	cvc5_s	cvc5_k	status
QF_AUFLIA/20170829-Rodin/smt101358492275879472.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt1232146482622696854.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt1355996306873782731.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt1525565934219293349.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt166278749308099823.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt1823835542615668089.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt1989795988797382439.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt2180380275580545420.smt2	sat	0.11	ok	sat	0.11	ok	sat	0.11	ok	sat
QF_AUFLIA/20170829-Rodin/smt2349554521575265533.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt2468388263826893998.smt2	sat	0.11	ok	sat	0.11	ok	sat	0.11	ok	sat
QF_AUFLIA/20170829-Rodin/smt2677767669072326293.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt2922685147464036249.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt3093696166632615469.smt2	sat	0.11	ok	sat	0.11	ok	sat	0.11	ok	sat
QF_AUFLIA/20170829-Rodin/smt3275743009640726251.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt3440074116434092548.smt2	sat	0.11	ok	sat	0.11	ok	sat	0.11	ok	sat
QF_AUFLIA/20170829-Rodin/smt3523843011010396885.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt3728766622780732153.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt3809310795425240370.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt407122468318533822.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt4238401262965072047.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt436905341138176170.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
QF_AUFLIA/20170829-Rodin/smt4514744799427321218.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
