file	axeyum	ax_s	ax_k	z3	z3_s	z3_k	cvc5	cvc5_s	cvc5_k	status
AUFBV/20210301-Alive2-partial-undef/bzip2/000_bzip2.smt2	unknown	25.03	ok	unknown	24.13	ok	unknown	3.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/bzip2/011_bzip2.smt2	unknown	25.03	ok	unknown	24.03	ok	unknown	0.21	ok	unknown
AUFBV/20210301-Alive2-partial-undef/bzip2/020_bzip2.smt2	unknown	25.03	ok	unknown	24.13	ok	unknown	2.51	ok	unknown
AUFBV/20210301-Alive2-partial-undef/bzip2/029_bzip2.smt2	unknown	24.32	ok	unknown	24.13	ok	unknown	2.01	ok	unknown
AUFBV/20210301-Alive2-partial-undef/bzip2/038_bzip2.smt2	unsat	1.61	ok	unknown	16.22	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/047_gcc.smt2	unknown	1.61	ok	unknown	24.13	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/055_gcc.smt2	unknown	24.63	ok	unknown	24.34	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/064_gcc.smt2	unknown	25.03	ok	unknown	24.13	ok	unknown	26.33	rc134	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/071_gcc.smt2	unknown	25.03	ok	unknown	24.13	ok	unknown	26.34	rc134	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/082_gcc.smt2	unknown	24.12	ok	unknown	24.12	ok	unknown	1.01	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/089_gcc.smt2	unknown	24.13	ok	unknown	24.13	ok	unknown	0.21	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/099_gcc.smt2	unknown	25.03	ok	unknown	24.63	ok	unknown	26.32	rc134	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/108_gcc.smt2	unknown	24.23	ok	unknown	24.03	ok	unknown	0.51	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/117_gcc.smt2	unknown	25.13	ok	unknown	24.03	ok	unknown	1.31	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/126_gcc.smt2	unknown	2.41	ok	sat	0.91	ok	unknown	23.13	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/136_gcc.smt2	unknown	24.42	ok	unknown	24.12	ok	unknown	0.61	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/145_gcc.smt2	unknown	25.12	ok	unknown	24.22	ok	unknown	4.51	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/156_gcc.smt2	unknown	25.23	ok	unknown	24.13	ok	unknown	8.21	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/165_gcc.smt2	unknown	13.72	ok	unsat	16.12	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/173_gcc.smt2	unknown	25.13	ok	unknown	24.13	ok	unknown	0.21	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/182_gcc.smt2	unknown	25.03	ok	unknown	24.13	ok	unknown	15.02	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/190_gcc.smt2	unknown	23.12	ok	sat	0.11	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/199_gcc.smt2	unknown	25.02	ok	unknown	24.02	ok	unknown	6.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/211_gcc.smt2	unknown	24.13	ok	sat	0.41	ok	unknown	0.81	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/222_gcc.smt2	unknown	25.03	ok	unknown	19.92	ok	unknown	0.21	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/231_gcc.smt2	unknown	24.93	ok	unknown	24.03	ok	unknown	0.51	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/240_gcc.smt2	unknown	1.71	ok	unknown	24.03	ok	unknown	0.71	ok	unknown
AUFBV/20210301-Alive2-partial-undef/gcc/250_gcc.smt2	unknown	25.03	ok	unknown	24.13	ok	unknown	11.02	ok	unknown
