file	arm	verdict	rc	wall_ms	attempts	decided_by	bound_by	bound_ms	total_ms	giveup	lever_refused
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_anderson.3.prop1_ab_reg_max.smt2	a8192	unsat	0	310	5	ufbv-online-cdclt	dl-online	250	265	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_anderson.3.prop1_ab_reg_max.smt2	n32768	unsat	0	310	5	ufbv-online-cdclt	dl-online	248	262	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_anderson.3.prop1_ab_reg_max.smt2	n65536	unsat	0	311	5	ufbv-online-cdclt	dl-online	263	278	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_anderson.3.prop1_ab_reg_max.smt2	n262144	unsat	0	311	5	ufbv-online-cdclt	dl-online	257	271	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_anderson.3.prop1_ab_reg_max.smt2	bothmid	unsat	0	312	5	ufbv-online-cdclt	dl-online	249	263	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_anderson.3.prop1_ab_reg_max.smt2	bothmax	unsat	0	310	5	ufbv-online-cdclt	dl-online	248	262	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_anderson.3.prop1_ab_reg_max.smt2	base	unsat	0	311	5	ufbv-online-cdclt	dl-online	240	253	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_anderson.3.prop1_ab_reg_max.smt2	a2048	unsat	0	312	5	ufbv-online-cdclt	dl-online	236	249	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_anderson.3.prop1_ab_reg_max.smt2	a4096	unsat	0	311	5	ufbv-online-cdclt	dl-online	239	253	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.2.prop1_ab_cti_max.smt2	base	unknown	0	911	18	ufbv-online-cdclt	dl-online	742	798	give-up kind=ResourceLimit detail=online UFBV has 1205 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.2.prop1_ab_cti_max.smt2	a2048	sat	0	3816	9	ufbv-online-cdclt	ufbv-online-cdclt	2887	3760	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.2.prop1_ab_cti_max.smt2	a4096	sat	0	3713	9	ufbv-online-cdclt	ufbv-online-cdclt	2861	3664	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.2.prop1_ab_cti_max.smt2	a8192	sat	0	3514	9	ufbv-online-cdclt	ufbv-online-cdclt	2695	3470	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.2.prop1_ab_cti_max.smt2	n32768	unknown	0	812	18	ufbv-online-cdclt	dl-online	689	744	give-up kind=ResourceLimit detail=online UFBV has 1205 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.2.prop1_ab_cti_max.smt2	n65536	unknown	0	812	18	ufbv-online-cdclt	dl-online	699	752	give-up kind=ResourceLimit detail=online UFBV has 1205 semantic atoms, exceeding the cap of 1024	no
