file	arm	verdict	rc	wall_ms	attempts	decided_by	bound_by	bound_ms	total_ms	giveup	lever_refused
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.5.prop1_ab_reg_max.smt2	shipped	sat	0	711	9	ufbv-online-cdclt	ufbv-online-cdclt	523	616	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_adding.5.prop1_ab_reg_max.smt2	preadr	sat	0	811	9	ufbv-online-cdclt	ufbv-online-cdclt	626	694	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bakery.3.prop1_ab_cti_max.smt2	shipped	sat	0	611	5	ufbv-online-cdclt	dl-online	494	538	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_bakery.3.prop1_ab_cti_max.smt2	preadr	sat	0	611	5	ufbv-online-cdclt	dl-online	495	539	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.6.prop1_ab_cti_max.smt2	shipped	sat	0	10719	9	ufbv-online-cdclt	ufbv-online-cdclt	7980	10608	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.6.prop1_ab_cti_max.smt2	preadr	unknown	0	2713	18	ufbv-online-cdclt	ufbv-online-cdclt	1530	2627	give-up kind=ResourceLimit detail=online UFBV has 1689 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_cambridge.3.prop2_ab_reg_max.smt2	shipped	unsat	0	4915	5	ufbv-online-cdclt	ufbv-online-cdclt	3781	4817	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_cambridge.3.prop2_ab_reg_max.smt2	preadr	unknown	0	1111	14	none	dl-online	1011	1043	give-up kind=ResourceLimit detail=online UFBV has 1207 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_driving_phils.1.prop1_ab_reg_max.smt2	shipped	sat	0	110	5	ufbv-online-cdclt	dl-online	4	7	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_driving_phils.1.prop1_ab_reg_max.smt2	preadr	sat	0	110	5	ufbv-online-cdclt	dl-online	4	7	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_exit.2.prop1_ab_cti_max.smt2	shipped	sat	0	4013	5	ufbv-online-cdclt	ufbv-online-cdclt	2843	3942	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_exit.2.prop1_ab_cti_max.smt2	preadr	unknown	0	1212	14	none	dl-online	1129	1172	give-up kind=ResourceLimit detail=online UFBV has 1602 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_fischer.2.prop1_ab_cti_max.smt2	shipped	sat	0	4816	9	ufbv-online-cdclt	ufbv-online-cdclt	4250	4737	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_fischer.2.prop1_ab_cti_max.smt2	preadr	sat	0	4612	9	ufbv-online-cdclt	ufbv-online-cdclt	4025	4517	none	no
