file	axeyum	ax_s	ax_k	z3	z3_s	z3_k	cvc5	cvc5_s	cvc5_k	status	lever_refused
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_at.1.prop1_ab_cti_max.smt2	sat	10.92	ok	sat	0.11	ok	sat	0.51	ok	sat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_at.5.prop1_ab_reg_max.smt2	unsat	5.72	ok	unsat	0.11	ok	unsat	0.81	ok	unsat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.2.prop1_ab_cti_max.smt2	sat	3.21	ok	sat	0.11	ok	sat	0.21	ok	sat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.6.prop1_ab_cti_max.smt2	sat	6.32	ok	sat	0.11	ok	sat	0.31	ok	sat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_cambridge.3.prop2_ab_reg_max.smt2	unsat	3.21	ok	unsat	0.11	ok	unsat	0.31	ok	unsat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_collision.3.prop1_ab_cti_max.smt2	sat	23.63	ok	sat	0.61	ok	sat	0.31	ok	sat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_collision.6.prop1_ab_reg_max.smt2	unsat	8.82	ok	unsat	0.11	ok	unsat	0.51	ok	unsat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_exit.2.prop1_ab_cti_max.smt2	sat	2.71	ok	sat	0.11	ok	sat	0.41	ok	sat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_exit.5.prop1_ab_reg_max.smt2	unsat	6.52	ok	unsat	0.11	ok	unsat	0.71	ok	unsat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_fischer.6.prop1_ab_cti_max.smt2	sat	23.63	ok	sat	0.11	ok	sat	0.21	ok	sat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_frogs.3.prop1_ab_reg_max.smt2	unsat	6.12	ok	unsat	0.11	ok	unsat	0.31	ok	unsat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_gear.1.prop2_ab_reg_max.smt2	unsat	2.51	ok	unsat	0.11	ok	unsat	0.31	ok	unsat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_gear.2.prop2_ab_cti_max.smt2	sat	20.83	ok	sat	0.11	ok	sat	0.41	ok	sat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_lamport.6.prop1_ab_cti_max.smt2	sat	2.61	ok	sat	0.11	ok	sat	0.61	ok	sat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_lamport_nonatomic.3.prop1_ab_cti_max.smt2	sat	8.62	ok	sat	0.11	ok	sat	1.01	ok	sat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_leader_filters.6.prop1_ab_cti_max.smt2	sat	3.31	ok	sat	0.11	ok	sat	0.51	ok	sat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_lup.2.prop1_ab_reg_max.smt2	unsat	6.82	ok	unsat	0.11	ok	unsat	0.51	ok	unsat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_mcs.6.prop1_ab_cti_max.smt2	sat	2.91	ok	sat	0.11	ok	sat	0.71	ok	sat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_rether.4.prop1_ab_cti_max.smt2	unknown	0.91	ok	sat	0.11	ok	sat	1.01	ok	sat	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_sokoban.2.prop1_ab_cti_max.smt2	sat	14.62	ok	sat	0.11	ok	sat	0.31	ok	sat	no
