file	verdict	rc	wall_ms	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	deepest	qtrace	giveup
UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_58_080_1129868.smt_in.smt2	unknown	0	24229	311	none	q:mbqi	fd:bounded-completeness-unsat	5246	24106	na	na	na	egraph@0.499:declined;egraph@0.087:declined;egraph@0.014:declined;egraph@0.027:declined;egraph@0.027:declined;egraph@0.017:declined;egraph@0.017:declined;egraph@0.028:declined;egraph@0.027:declined;egraph@0.010:declined;egraph@0.008:declined;egraph@0.009:declined;egraph@0.009:declined;egraph@0.014:declined;egraph@0.029:declined;egraph@0.028:declined;egraph@0.019:declined;egraph@0.018:declined;egraph@0.029:declined;egraph@0.029:declined;egraph@0.010:declined;egraph@0.011:declined;egraph@0.011:declined;egraph@0.011:declined;egraph@0.501:declined;egraph@7.075:declined;egraph@24.019:declined;(+240 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_52_38_278_1003962.smt_in.smt2	unknown	0	306	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	83	212	na	na	na	egraph@0.108:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_53_30_176_1063054.smt_in.smt2	unknown	0	307	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	84	213	na	na	na	egraph@0.108:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_53_56_537_1094926.smt_in.smt2	unknown	0	409	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	122	300	na	na	na	egraph@0.150:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_51_40_571_1197401.smt_in.smt2	unknown	0	18925	19	none	q:mbqi	fd:bounded-completeness-unsat	6239	18808	na	na	na	egraph@7.000:declined;(+93 segments of other stages dropped)	give-up kind=Incomplete detail=e-matching instantiation stopped after 7 rounds: the remaining budget could not fit another round with growth headroom
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_52_17_883_1227692.smt_in.smt2	unknown	0	11116	19	none	q:mbqi	fd:bounded-completeness-unsat	7228	10957	na	na	na	egraph@3.506:declined;(+78 segments of other stages dropped)	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 5 rounds (no further instance to admit; more rounds cannot help)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_55_16_096_1393024.smt_in.smt2	unknown	0	307	20	none	q:mbqi	fd:bounded-completeness-unsat	80	209	na	na	na	egraph@0.109:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT datatype's expansion is not exact (its Ackermann witness is a fresh datatype variable, and two such witnesses cannot be compared exactly, so the congruence consequent would not be the one the axiom states) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_55_51_081_1423271.smt_in.smt2	unknown	0	108	20	none	fd:parse	fd:bounded-completeness-unsat	11	44	na	na	na	egraph@0.015:unsupported->decline;(+35 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT datatype's expansion is not exact (its Ackermann witness is a fresh datatype variable, and two such witnesses cannot be compared exactly, so the congruence consequent would not be the one the axiom states) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_56_59_960_1476927.smt_in.smt2	unknown	0	108	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	12	49	na	na	na	egraph@0.017:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_58_53_892_1581989.smt_in.smt2	unknown	0	106	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	12	50	na	na	na	egraph@0.018:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT datatype's expansion is not exact (its Ackermann witness is a fresh datatype variable, and two such witnesses cannot be compared exactly, so the congruence consequent would not be the one the axiom states) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_01_21_331_1740010.smt_in.smt2	unknown	0	25034	94	q:ground-subset	q:mbqi	q:uf-fmf-probe	4278	22048	q:uf-fmf-probe	2951	euf:fc-loop>euf:fc-abstract	egraph@0.054:declined;egraph@0.301:declined;egraph@0.022:declined;egraph@0.256:declined;egraph@1.761:declined;egraph@1.726:declined;egraph@4.064:declined;(+107 segments of other stages dropped)	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
