file	verdict	bound_by	last	attempts	total_ms	giveup_kind	universals	triggerless	rounds	joined	starved	admitted	silent	giveup_raw
UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	21	24069	ResourceLimit	0	0	8	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	9	226	NONE	0	0	0	NA	NA	NA	NA	NONE
UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	21	24151	ResourceLimit	0	0	5	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	unknown	q:eq-partition	fd:bounded-completeness-unsat	21	24012	ResourceLimit	0	0	6	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	22	19120	ResourceLimit	7	0	74	12884	0	148	6	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	22	15232	Incomplete	21	0	258	248178	0	658	19	e-matching instantiation stopped after 216 rounds: the remaining budget could not fit another round with growth headroom
UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	21	24050	ResourceLimit	22	0	177	334133	0	3031	14	quantified solve time budget exhausted after MBQI and the finite-model finder
UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	21	24031	ResourceLimit	0	0	5	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	21	24046	ResourceLimit	0	0	8	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	21	24062	ResourceLimit	0	0	8	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
