file	declared_status	z3_orig	cvc5_orig	shared_skel	fresh_skel	fresh_occ
UFLIA/simplify2/front_end_suite/javafe.ast.AmbiguousVariableAccess.004.smt2	unsat	unsat	unsat	unsat	unsat	106
UFLIA/simplify2/front_end_suite/javafe.ast.CompilationUnit.001.smt2	unsat	unsat	unsat	unsat	unsat	115
UFLIA/simplify2/front_end_suite/javafe.ast.ConstructorDecl.007.smt2	unsat	unsat	unsat	unsat	unsat	111
UFLIA/simplify2/front_end_suite/javafe.ast.DefaultVisitor.028.smt2	unsat	unsat	unsat	unsat	unsat	166
UFLIA/simplify2/front_end_suite/javafe.ast.ForStmt.009.smt2	unsat	unsat	unsat	unsat	unsat	110
UFLIA/simplify2/front_end_suite/javafe.ast.StandardPrettyPrint.008.smt2	unsat	unsat	unsat	unsat	unsat	192
UFLIA/simplify2/front_end_suite/javafe.ast.SuperObjectDesignator.008.smt2	unsat	unsat	unsat	unsat	unsat	105
UFLIA/simplify2/front_end_suite/javafe.ast.ThrowStmt.004.smt2	unsat	unsat	unsat	unsat	unsat	106
UFLIA/simplify2/front_end_suite/javafe.parser.test.TestLex.030.smt2	unsat	unsat	unsat	unsat	unsat	106
UFLIA/simplify2/front_end_suite/javafe.tc.ConstantExpr.001.smt2	unsat	unsat	unsat	unsat	unsat	235
UFNIA/lahiri-cav09-storm-queries/usbsamp_bug_example_2_3_8_1.smt2	unsat	unsat	unsat	unsat	unsat	794
UFNIA/lahiri-cav09-storm-queries/usbsamp_example_2_3_4_0.smt2	unsat	unsat	unsat	unsat	unsat	794
UFNIA/sledgehammer/TwoSquares/z3.861593.smt2	unsat	unsat	unsat	unsat	unsat	221
UFNIA/spec_sharp/test14-CommandLineOptions.ssc.23.Microsoft.Boogie.CommandLineOptions.Boogie.ContractConsistencyCheck.get_ProverNeedsTypes.smt2	unsat	unsat	unsat	unsat	unsat	598
UFNIA/vcc-havoc/verisoft-baby.c.10.privileged.smt2	unsat	unsat	unsat	unsat	unsat	898
